Store ID,Store Name,Division,n_weeks,Actual_Total,Predicted_Total,WAPE_pct,Bias_pct,RMSE,Q1_Bias,Q2_Bias,Q3_Bias,Q4_Bias,abs_bias,target_status,role_of_store
S01442,"Blackreach, GA",SOUTH,13,27700734.0,2.1136586e+07,34.27,-23.7,1078297.0,,,12.5,-35.9,23.7,Under-Targeted,High Growth
S00256,"Morgard, NY",NORTH,13,69447160.0,8.480122e+07,22.11,22.11,1358860.0,,,13.9,27.7,22.11,Over-Targeted,Defend
S00780,"Bearcrest, CO",WEST,13,1263561.0,1.500438e+06,18.94,18.75,21130.0,,,18.2,19.1,18.75,Over-Targeted,Defend
S01285,"Maplefield, AZ",WEST,13,1334392.0,1.555601e+06,19.89,16.58,25956.0,,,16.6,16.6,16.58,Over-Targeted,Defend
S00238,"Maplerock, OH",NORTH,13,1312252.0,1.511767e+06,15.45,15.2,19452.0,,,10.3,18.5,15.2,Over-Targeted,Defend
S00522,"Goldside, IL",NORTH,13,1378776.0,1.577071e+06,16.13,14.38,19490.0,,,13.0,15.3,14.38,Over-Targeted,Defend
S00875,"Redmont, TN",SOUTH,13,17059322.0,1.5094082e+07,16.44,-11.52,384026.0,,,-16.9,-7.8,11.52,Under-Targeted,High Growth
S00974,"Maplegate, FL",SOUTH,13,9740323.0,8.79004e+06,19.97,-9.76,168677.0,,,-6.3,-11.6,9.76,Under-Targeted,High Growth
S01351,"Mooncross, MI",NORTH,13,24821000.0,2.2597396e+07,18.4,-8.96,500153.0,,,3.2,-15.4,8.96,Under-Targeted,Neutral
S01178,"Clearbrook, IL",NORTH,13,16235150.0,1.4821648e+07,19.71,-8.71,426815.0,,,-21.1,2.1,8.71,Under-Targeted,Maintain
S01585,"Riverhollow, UT",WEST,13,33014920.0,3.019703e+07,9.03,-8.54,278377.0,,,-5.6,-10.5,8.54,Under-Targeted,High Growth
S00158,"Lakemere, NJ",NORTH,13,16995583.0,1.5556397e+07,12.15,-8.47,235276.0,,,0.6,-13.6,8.47,Under-Targeted,Growth
