Store ID,Store Name,Division,n_weeks,Actual_Total,Predicted_Total,WAPE_pct,Bias_pct,RMSE,Q1_Bias,Q2_Bias,Q3_Bias,Q4_Bias,abs_bias,target_status,role_of_store,Plan_Total,Plan_Bias_pct,Plan_WAPE_pct,Model_Improvement_pp
S01442,"Blackreach, GA",SOUTH,13,27700734.0,21136586.0,34.27,-23.7,1078297.0,,,12.5,-35.9,23.7,Under-Targeted,High Growth,19978705.361,-27.876621027442805,27.876621027442805,-6.393378972557198
S00256,"Morgard, NY",NORTH,13,69447160.0,84801220.0,22.11,22.11,1358860.0,,,13.9,27.7,22.11,Over-Targeted,Defend,75934964.0,9.342072447599008,9.342072447599008,-12.767927552400991
S00780,"Bearcrest, CO",WEST,13,1263561.0,1500438.0,18.94,18.75,21130.0,,,18.2,19.1,18.75,Over-Targeted,Defend,1256381.25,-0.5682155432147715,0.5682155432147715,-18.371784456785228
S01285,"Maplefield, AZ",WEST,13,1334392.0,1555601.0,19.89,16.58,25956.0,,,16.6,16.6,16.58,Over-Targeted,Defend,1614982.25,21.027572857151423,21.027572857151423,1.1375728571514223
S00238,"Maplerock, OH",NORTH,13,1312252.0,1511767.0,15.45,15.2,19452.0,,,10.3,18.5,15.2,Over-Targeted,Defend,1341366.5,2.2186668414298474,2.2186668414298474,-13.231333158570152
S00522,"Goldside, IL",NORTH,13,1378776.0,1577071.0,16.13,14.38,19490.0,,,13.0,15.3,14.38,Over-Targeted,Defend,1416093.0,2.706531010113318,2.706531010113318,-13.42346898988668
S00875,"Redmont, TN",SOUTH,13,17059322.0,15094082.0,16.44,-11.52,384026.0,,,-16.9,-7.8,11.52,Under-Targeted,High Growth,12536338.4294,-26.513266884815227,26.513266884815227,10.073266884815226
S00974,"Maplegate, FL",SOUTH,13,9740323.0,8790040.0,19.97,-9.76,168677.0,,,-6.3,-11.6,9.76,Under-Targeted,High Growth,9303309.9119,-4.486638565271392,4.486638565271392,-15.483361434728607
S01351,"Mooncross, MI",NORTH,13,24821000.0,22597396.0,18.4,-8.96,500153.0,,,3.2,-15.4,8.96,Under-Targeted,Neutral,21361731.749,-13.936860928246237,13.936860928246237,-4.463139071753762
S01178,"Clearbrook, IL",NORTH,13,16235150.0,14821648.0,19.71,-8.71,426815.0,,,-21.1,2.1,8.71,Under-Targeted,Maintain,13464700.9638,-17.0645114840331,17.0645114840331,-2.6454885159668997
S01585,"Riverhollow, UT",WEST,13,33014920.0,30197030.0,9.03,-8.54,278377.0,,,-5.6,-10.5,8.54,Under-Targeted,High Growth,30766444.0,-6.810484471869083,6.810484471869083,-2.2195155281309162
S00158,"Lakemere, NJ",NORTH,13,16995583.0,15556397.0,12.15,-8.47,235276.0,,,0.6,-13.6,8.47,Under-Targeted,Growth,15345540.017,-9.708657731835379,9.708657731835379,-2.4413422681646217
S01061,"Winhold, CA",WEST,13,1649432.0,1786498.0,10.48,8.31,16295.0,,,11.4,6.4,8.31,Over-Targeted,Defend,1648062.25,-0.08304373869307738,0.08304373869307738,-10.396956261306922
S01293,"Crystalmesa, TX",WEST,13,5556963.0,6018047.0,8.92,8.3,48425.0,,,5.5,10.5,8.3,Over-Targeted,Defend,6003696.096,8.039159087436786,8.039159087436786,-0.8808409125632135
S00437,"Frostvalley, WA",WEST,13,1658586.0,1794056.0,8.58,8.17,13865.0,,,7.4,8.7,8.17,Over-Targeted,Defend,1624631.5,-2.047195623259813,2.047195623259813,-6.532804376740187
S01199,"Morbay, IA",WEST,13,14285556.0,13159294.0,11.23,-7.88,173722.0,,,-4.9,-9.7,7.88,Under-Targeted,High Growth,13762197.0656,-3.663553132968711,3.663553132968711,-7.566446867031289
S01138,"Stonegate, MI",NORTH,13,18007278.0,16592974.0,13.25,-7.85,234771.0,,,-3.5,-10.6,7.85,Under-Targeted,Maintain,16168564.8492,-10.2109444348002,10.2109444348002,-3.0390555651997992
S00023,"Royalgrove, TX",SOUTH,13,6185633.0,5704724.0,14.01,-7.77,121141.0,,,-3.8,-10.0,7.77,Under-Targeted,High Growth,5884853.4915,-4.862550178777184,4.862550178777184,-9.147449821222816
S00670,"Graykeep, CA",WEST,13,12324625.0,11375966.0,11.92,-7.7,138816.0,,,-6.5,-8.4,7.7,Under-Targeted,High Growth,10909261.7907,-11.484026567136933,11.484026567136933,-0.4359734328630669
S01116,"Crystalheights, NC",SOUTH,13,37126262.0,39974836.0,8.03,7.67,307601.0,,,6.7,8.4,7.67,Over-Targeted,Defend,34167630.727,-7.969106270380793,7.969106270380793,-0.06089372961920603
S01455,"Cedarfield, LA",SOUTH,13,1630352.0,1754299.0,8.77,7.6,13459.0,,,8.5,7.1,7.6,Over-Targeted,Maintain,1722270.0,5.637923589507051,5.637923589507051,-3.1320764104929486
S01246,"Eagleford, IA",WEST,13,15158632.0,14045401.0,11.4,-7.34,167079.0,,,-8.6,-6.5,7.34,Under-Targeted,High Growth,14822670.5525,-2.216304528667229,2.216304528667229,-9.183695471332772
S01014,"Riversprings, NY",NORTH,13,26604259.0,24651018.0,9.51,-7.34,213344.0,,,-8.0,-6.9,7.34,Under-Targeted,High Growth,23360729.428,-12.191768137575268,12.191768137575268,2.6817681375752684
S00502,"Redmark, CO",WEST,13,17670904.0,16383162.0,9.99,-7.29,184132.0,,,0.8,-11.9,7.29,Under-Targeted,High Growth,15463549.8364,-12.49146146456344,12.49146146456344,2.501461464563439
S01703,"Foxdale, NJ",NORTH,13,8560846.0,7939660.0,7.54,-7.26,63654.0,,,-4.7,-8.8,7.26,Under-Targeted,Growth,7939067.8211,-7.263045952467778,7.263045952467778,-0.27695404753222164
S00026,"Copperbend, IA",NORTH,13,10537122.0,9777066.0,8.27,-7.21,87396.0,,,-5.8,-8.1,7.21,Under-Targeted,High Growth,9817889.739,-6.825699284871144,6.825699284871144,-1.4443007151288558
S00535,"Brightdale, GA",SOUTH,13,23250979.0,21594056.0,11.71,-7.13,287373.0,,,1.7,-11.9,7.13,Under-Targeted,High Growth,21229303.399,-8.695012803546895,8.695012803546895,-3.014987196453106
