Store ID,Store Name,Division,Urbanicity,lag_1,lag_4,lag_13,lag_52,Urbanicity_enc,CYE Total Households,CYE Household Density HH SqMi,CYE Median Household Income,CYE Total Housing Units,CYE Total Population,income_affluent,housing_old_share,housing_new_share,Sister Store Count in TradeArea,total_competitor_ta,Wallflowers Depot Count in TradeArea
S00001,"Starmont, GA",SOUTH,Small Town,1382641.316,1368612.661,1497888.867,1337234.447,6,129506,174,64399,142251,320230,11.04,31.369999999999997,23.71,0,29,9
S00002,"Bluevalley, OK",WEST,Small Town,1314808.175,1590681.46,1605966.63,1233552.425,6,29155,30,66008,33029,71884,12.59,47.57,15.7,0,8,1
S00003,"Northdor, PA",NORTH,Small Town,766656.3037,701806.4779,870101.3951,706836.0606,6,73252,65,62316,80288,176375,9.21,58.27,9.21,0,33,3
S00004,"Vanshire, MO",WEST,Large Town,454365.9729,511634.8233,638637.5699,525846.1978,1,235296,769,99423,248066,558960,23.810000000000002,45.230000000000004,11.770000000000001,5,61,7
S00005,"Oakwatch, CA",WEST,Large Town,313207.0904,308901.372,335281.091,293407.6496,1,131731,1210,92344,135228,483457,20.599999999999998,30.39,20.4,1,18,4
S00006,"Cleargate, SC",SOUTH,Small Town,575725.5705,543541.4267,609712.8704,548454.5656,6,172497,249,67599,236176,395847,11.9,6.47,38.07,3,58,12
S00007,"Starwood, FL",SOUTH,Small City,354327.5971,318665.0375,434052.6027,390272.58,5,166004,1019,105308,189818,403608,27.15,7.859999999999999,13.9,1,20,4
S00008,"Ironfall, FL",SOUTH,Large Town,1642406.382,1552226.292,1803192.923,1628183.627,1,136919,477,66807,151503,337914,11.85,26.38,21.01,2,38,11
S00009,"Lowkeep, TN",SOUTH,Rural,1738829.847,1694086.501,2056786.749,1887849.443,4,31661,91,70327,35512,81784,11.93,23.43,19.72,1,9,2
S00010,"Brightwatch, NY",NORTH,Small Town,967455.7334,982735.1125,1206698.643,814949.149,6,32746,73,78041,37186,74930,16.33,64.27,9.22,0,10,1
S00011,"Brighttown, PA",NORTH,Small Town,523835.4241,470474.0204,664452.704,496761.8207,6,57921,344,115219,61208,140666,31.08,48.230000000000004,17.44,1,14,1
S00012,"Wolfplains, IN",NORTH,Large Town,823142.6751,705523.6579,974677.0703,882488.3605,1,85138,356,59529,94715,208163,9.17,57.220000000000006,11.14,1,13,1
S00013,"Sageview, FL",SOUTH,Small Town,651638.7614,717419.5288,697531.9544,757288.0899,6,42083,258,76099,46633,101661,14.45,24.17,19.830000000000002,0,10,1
S00014,"Blackwatch, CA",WEST,Large Town,364482.514,368748.5911,403225.4733,371926.4268,1,335580,887,82761,351639,912530,20.1,39.75,16.93,1,51,7
S00015,"Foxmont, NC",SOUTH,Small Town,1177789.854,1178190.912,1301031.354,1143911.384,6,40470,58,72180,46090,95035,12.01,20.439999999999998,28.91,0,10,4
S00016,"Greenreach, CO",WEST,Small Town,214994.6156,214430.1579,260931.2486,181854.4655,6,147389,617,119793,152889,403403,31.409999999999997,2.9,37.1,2,30,7
S00017,"Westmesa, CA",WEST,Small City,541321.3607,425213.3514,551837.208,549457.0659,5,586710,2112,97660,624056,1539176,26.03,40.55,12.399999999999999,1,90,9
S00018,"Bearbrook, FL",SOUTH,Large Town,1132834.326,1061480.421,1072184.281,1079594.051,1,132872,635,96423,142484,344690,24.42,6.87,39.35,2,27,6
S00019,"Stormrun, NC",SOUTH,Rural,3109278.064,3372643.471,3321066.35,3260489.242,4,146442,157,75306,174119,352597,14.829999999999998,17.25,31.950000000000003,5,54,8
S00020,"Maplecourt, NJ",NORTH,Large Town,575751.9583,488003.4228,710558.2906,554612.3857,1,195126,658,163098,204380,519492,52.0,57.48,9.42,0,46,4
S00021,"Bluemont, WV",NORTH,Rural,171327.6063,179191.4706,243596.9593,162214.0999,4,25104,27,45451,28719,59259,5.699999999999999,36.15,15.829999999999998,0,7,1
S00022,"Winkeep, IA",NORTH,Small Town,312158.7455,252352.4023,315838.9192,308510.8758,6,73895,56,71449,79811,178325,12.309999999999999,53.31999999999999,14.97,0,26,4
